"과목 및 유형",2023,2023,2023,2023,2023,2023,2023
"과목 및 유형",평  균 (만원),대도시 (만원),서  울 (만원),광역시 (만원),대도시이외 (만원),중소도시 (만원),읍면지역 (만원)
"대상분포(%)",100.0,38.3,15.1,23.3,61.7,45.3,16.4
"사교육비",43.4,50.6,62.8,42.7,38.9,42.5,28.9
"과목: 일반교과 사교육",32.6,38.5,48.2,32.2,28.9,31.8,21.1
"국어",3.8,4.4,5.6,3.7,3.4,3.8,2.4
"영어",12.8,14.7,17.9,12.6,11.6,12.8,8.2
"수학",12.2,14.6,18.4,12.1,10.7,11.7,8.1
"사회, 과학",1.9,2.5,3.4,2.0,1.6,1.7,1.3
"논술",1.3,1.6,2.2,1.2,1.1,1.3,0.8
"제2외국어, 한문, 컴퓨터 등",0.6,0.6,0.7,0.6,0.5,0.6,0.4
"컴퓨터",0.2,0.3,0.3,0.3,0.2,0.2,0.1
"제2외국어, 한문 등",0.3,0.4,0.4,0.3,0.3,0.3,0.2
"과목: 예체능,취미,교양 사교육",10.5,11.8,14.2,10.2,9.7,10.5,7.5
"음악",2.9,3.5,4.4,2.9,2.6,2.8,2.1
"미술",1.8,1.9,2.3,1.7,1.7,1.9,1.2
"체육",4.8,5.4,6.4,4.8,4.5,4.8,3.6
"취미·교양",0.9,0.9,1.1,0.9,0.9,1.0,0.6
"과목: 취업관련 사교육",0.1,0.1,0.2,0.1,0.1,0.1,0.1
"과목: 진로·진학 학습상담",0.2,0.2,0.2,0.1,0.2,0.2,0.1
"유형: 일반교과 사교육",32.6,38.5,48.2,32.2,28.9,31.8,21.1
"개인과외",3.7,4.5,5.8,3.7,3.2,3.4,2.4
"그룹과외",2.2,2.0,1.9,2.1,2.3,2.3,2.1
"학원수강",24.1,29.3,37.9,23.7,20.8,23.3,14.0
"방문학습지",1.1,1.1,1.1,1.1,1.1,1.1,1.0
"유료인터넷 및 통신강좌 등",1.6,1.6,1.6,1.6,1.7,1.7,1.6
"유형: 예체능,취미,교양 사교육",10.5,11.8,14.2,10.2,9.7,10.5,7.5
"개인과외",1.2,1.7,2.6,1.1,0.9,1.0,0.8
"그룹과외",0.5,0.6,0.8,0.5,0.5,0.5,0.4
"학원수강",8.3,9.0,10.2,8.2,7.9,8.6,5.9
"방문수업 및 기타",0.4,0.5,0.6,0.4,0.4,0.3,0.4
