"과목 및 유형",2023,2023,2023,2023,2023,2023
"과목 및 유형",평  균 (만원),상위10% 이내 (만원),11 ~ 30% (만원),31 ~ 60% (만원),61 ~ 80% (만원),81 ~ 100% (만원)
"대상분포(%)",100.0,10.5,20.3,30.0,19.9,19.3
"사교육비",49.1,61.6,58.1,52.1,44.0,33.6
"과목: 일반교과 사교육",41.8,57.6,52.8,45.3,35.4,22.9
"국어",7.1,10.8,8.8,7.7,5.9,3.5
"영어",13.1,16.8,16.3,14.2,11.6,7.4
"수학",17.1,23.4,21.7,18.6,14.1,9.3
"사회, 과학",3.7,5.8,5.0,3.8,2.7,1.9
"논술",0.5,0.4,0.5,0.5,0.5,0.3
"제2외국어, 한문, 컴퓨터 등",0.5,0.3,0.5,0.4,0.5,0.6
"컴퓨터",0.2,0.1,0.2,0.1,0.2,0.3
"제2외국어, 한문 등",0.3,0.2,0.3,0.3,0.3,0.3
"과목: 예체능,취미,교양 사교육",6.4,3.0,4.5,6.1,7.5,9.6
"음악",1.7,1.4,1.3,1.4,1.8,2.6
"미술",2.3,0.8,1.7,2.5,2.8,2.8
"체육",1.5,0.6,0.9,1.3,1.7,2.6
"취미·교양",0.9,0.3,0.5,0.8,1.3,1.6
"과목: 취업관련 사교육",0.5,0.2,0.3,0.5,0.8,0.8
"과목: 진로·진학 학습상담",0.3,0.8,0.4,0.3,0.3,0.2
"유형: 일반교과 사교육",41.8,57.6,52.8,45.3,35.4,22.9
"개인과외",6.9,7.6,8.3,7.1,6.6,5.0
"그룹과외",2.6,3.6,3.2,2.7,2.3,1.5
"학원수강",30.9,44.6,39.5,33.9,25.2,15.4
"방문학습지",0.0,0.0,0.0,0.1,0.0,0.0
"유료인터넷 및 통신강좌 등",1.5,1.8,1.8,1.5,1.3,1.0
"유형: 예체능,취미,교양 사교육",6.4,3.0,4.5,6.1,7.5,9.6
"개인과외",1.6,1.4,1.2,1.6,1.5,2.2
"그룹과외",0.3,0.1,0.2,0.2,0.4,0.5
"학원수강",4.4,1.4,2.9,4.3,5.5,6.6
"방문수업 및 기타",0.2,0.1,0.1,0.1,0.1,0.4
